"","Group.1","Group.2","x3"
"10818",12489,"dry",1
"10897",12637,"dry",1
"10931",12686,"dry",1
"11000",12811,"dry",1
"11996",14674,"dry",1
"12644",88,"none_Fd",1
"12680",274,"none_Fd",1
"12681",280,"none_Fd",1
"12682",283,"none_Fd",1
"12683",285,"none_Fd",1
"12685",294,"none_Fd",1
"12689",300,"none_Fd",1
"12694",307,"none_Fd",1
"12695",308,"none_Fd",1
"12706",323,"none_Fd",1
"12767",530,"none_Fd",1
"12788",623,"none_Fd",1
"12789",628,"none_Fd",1
"12791",637,"none_Fd",1
"12794",649,"none_Fd",1
"12800",670,"none_Fd",1
"12819",786,"none_Fd",1
"12820",787,"none_Fd",1
"12853",883,"none_Fd",1
"12946",1435,"none_Fd",1
"12963",1534,"none_Fd",1
"12993",1679,"none_Fd",1
"13033",1871,"none_Fd",1
"13043",1901,"none_Fd",1
"13080",2023,"none_Fd",1
"13092",2054,"none_Fd",1
"13161",2294,"none_Fd",1
"13241",2574,"none_Fd",1
"13290",2792,"none_Fd",1
"13303",2837,"none_Fd",1
"13317",2930,"none_Fd",1
"13322",2988,"none_Fd",1
"13345",3095,"none_Fd",1
"13363",3186,"none_Fd",1
"13395",3255,"none_Fd",1
"13398",3260,"none_Fd",1
"13399",3263,"none_Fd",1
"13401",3265,"none_Fd",1
"13402",3266,"none_Fd",1
"13403",3267,"none_Fd",1
"13404",3269,"none_Fd",1
"13415",3287,"none_Fd",1
"13435",3316,"none_Fd",1
"13444",3330,"none_Fd",1
"13451",3355,"none_Fd",1
"13452",3356,"none_Fd",1
"13468",3381,"none_Fd",1
"13473",3392,"none_Fd",1
"13555",3586,"none_Fd",1
"13556",3588,"none_Fd",1
"13557",3589,"none_Fd",1
"13586",3649,"none_Fd",1
"13605",3693,"none_Fd",1
"13606",3694,"none_Fd",1
"13658",3828,"none_Fd",1
"13686",3897,"none_Fd",1
"13800",4211,"none_Fd",1
"13802",4213,"none_Fd",1
"14035",4932,"none_Fd",1
"14112",5165,"none_Fd",1
"14161",5327,"none_Fd",1
"14222",5527,"none_Fd",1
"14227",5541,"none_Fd",1
"14268",5723,"none_Fd",1
"14269",5725,"none_Fd",1
"14270",5726,"none_Fd",1
"14271",5727,"none_Fd",1
"14283",5755,"none_Fd",1
"14289",5764,"none_Fd",1
"14318",5858,"none_Fd",1
"14351",5949,"none_Fd",1
"14353",5951,"none_Fd",1
"14354",5953,"none_Fd",1
"14363",5990,"none_Fd",1
"14378",6049,"none_Fd",1
"14381",6062,"none_Fd",1
"14385",6068,"none_Fd",1
"14397",6086,"none_Fd",1
"14399",6095,"none_Fd",1
"14412",6125,"none_Fd",1
"14459",6255,"none_Fd",1
"14460",6256,"none_Fd",1
"14472",6300,"none_Fd",1
"14553",6547,"none_Fd",1
"14634",6762,"none_Fd",1
"14647",6784,"none_Fd",1
"14660",6822,"none_Fd",1
"14690",6920,"none_Fd",1
"14725",7007,"none_Fd",1
"14765",7103,"none_Fd",1
"14804",7197,"none_Fd",1
"14808",7214,"none_Fd",1
"14873",7352,"none_Fd",1
"14932",7463,"none_Fd",1
"14933",7464,"none_Fd",1
"14935",7471,"none_Fd",1
"14993",7633,"none_Fd",1
"15083",7844,"none_Fd",1
"15127",7939,"none_Fd",1
"15134",7965,"none_Fd",1
"15135",7966,"none_Fd",1
"15136",7967,"none_Fd",1
"15175",8050,"none_Fd",1
"15177",8053,"none_Fd",1
"15246",8241,"none_Fd",1
"15248",8243,"none_Fd",1
"15249",8244,"none_Fd",1
"15250",8245,"none_Fd",1
"15252",8248,"none_Fd",1
"15294",8371,"none_Fd",1
"15295",8372,"none_Fd",1
"15327",8476,"none_Fd",1
"15345",8560,"none_Fd",1
"15346",8565,"none_Fd",1
"15390",8714,"none_Fd",1
"15428",8886,"none_Fd",1
"15462",8977,"none_Fd",1
"15513",9075,"none_Fd",1
"15514",9077,"none_Fd",1
"15524",9104,"none_Fd",1
"15525",9105,"none_Fd",1
"15533",9123,"none_Fd",1
"15534",9124,"none_Fd",1
"15611",9377,"none_Fd",1
"15614",9383,"none_Fd",1
"15639",9418,"none_Fd",1
"15643",9423,"none_Fd",1
"15644",9424,"none_Fd",1
"15655",9442,"none_Fd",1
"15688",9523,"none_Fd",1
"15689",9524,"none_Fd",1
"15690",9525,"none_Fd",1
"15753",9665,"none_Fd",1
"15771",9697,"none_Fd",1
"15786",9724,"none_Fd",1
"15844",9828,"none_Fd",1
"16097",10350,"none_Fd",1
"16098",10351,"none_Fd",1
"16106",10360,"none_Fd",1
"16107",10361,"none_Fd",1
"16108",10362,"none_Fd",1
"16113",10369,"none_Fd",1
"16114",10370,"none_Fd",1
"16123",10383,"none_Fd",1
"16124",10384,"none_Fd",1
"16129",10392,"none_Fd",1
"16217",10574,"none_Fd",1
"16218",10576,"none_Fd",1
"16227",10607,"none_Fd",1
"16228",10608,"none_Fd",1
"16390",11010,"none_Fd",1
"16419",11107,"none_Fd",1
"16422",11118,"none_Fd",1
"16423",11119,"none_Fd",1
"16431",11131,"none_Fd",1
"16434",11137,"none_Fd",1
"16435",11138,"none_Fd",1
"16504",11311,"none_Fd",1
"16505",11313,"none_Fd",1
"16526",11355,"none_Fd",1
"16527",11356,"none_Fd",1
"16528",11357,"none_Fd",1
"16550",11396,"none_Fd",1
"16569",11429,"none_Fd",1
"16570",11430,"none_Fd",1
"16573",11443,"none_Fd",1
"16717",11724,"none_Fd",1
"16718",11725,"none_Fd",1
"16748",11784,"none_Fd",1
"16872",12010,"none_Fd",1
"16974",12206,"none_Fd",1
"16980",12214,"none_Fd",1
"16999",12235,"none_Fd",1
"17014",12254,"none_Fd",1
"17055",12326,"none_Fd",1
"17087",12388,"none_Fd",1
"17146",12505,"none_Fd",1
"17157",12519,"none_Fd",1
"17199",12606,"none_Fd",1
"17200",12607,"none_Fd",1
"17201",12610,"none_Fd",1
"17203",12612,"none_Fd",1
"17204",12613,"none_Fd",1
"17216",12636,"none_Fd",1
"17217",12637,"none_Fd",1
"17327",12828,"none_Fd",1
"17437",13113,"none_Fd",1
"17457",13169,"none_Fd",1
"17679",13594,"none_Fd",1
"17695",13617,"none_Fd",1
"17812",13823,"none_Fd",1
"17813",13824,"none_Fd",1
"17814",13825,"none_Fd",1
"17856",13889,"none_Fd",1
"17932",14045,"none_Fd",1
"17933",14046,"none_Fd",1
"17934",14047,"none_Fd",1
"17935",14048,"none_Fd",1
"17937",14050,"none_Fd",1
"17952",14071,"none_Fd",1
"17977",14111,"none_Fd",1
"17978",14113,"none_Fd",1
"18258",14571,"none_Fd",1
"18286",14634,"none_Fd",1
"18288",14636,"none_Fd",1
"18289",14637,"none_Fd",1
"18290",14638,"none_Fd",1
"18303",14658,"none_Fd",1
"18336",14717,"none_Fd",1
"18355",14744,"none_Fd",1
"18535",15020,"none_Fd",1
"18697",15264,"none_Fd",1
"18794",15392,"none_Fd",1
"18963",71,"none_Fs",1
"18964",88,"none_Fs",1
"18974",171,"none_Fs",1
"19000",274,"none_Fs",1
"19001",280,"none_Fs",1
"19002",283,"none_Fs",1
"19003",285,"none_Fs",1
"19025",320,"none_Fs",1
"19026",323,"none_Fs",1
"19027",324,"none_Fs",1
"19087",530,"none_Fs",1
"19108",623,"none_Fs",1
"19109",628,"none_Fs",1
"19156",826,"none_Fs",1
"19251",1358,"none_Fs",1
"19255",1385,"none_Fs",1
"19277",1478,"none_Fs",1
"19283",1534,"none_Fs",1
"19313",1679,"none_Fs",1
"19327",1738,"none_Fs",1
"19344",1826,"none_Fs",1
"19345",1828,"none_Fs",1
"19353",1871,"none_Fs",1
"19371",1927,"none_Fs",1
"19400",2023,"none_Fs",1
"19412",2054,"none_Fs",1
"19545",2528,"none_Fs",1
"19559",2568,"none_Fs",1
"19560",2572,"none_Fs",1
"19561",2574,"none_Fs",1
"19568",2589,"none_Fs",1
"19642",2988,"none_Fs",1
"19665",3095,"none_Fs",1
"19683",3186,"none_Fs",1
"19704",3236,"none_Fs",1
"19711",3250,"none_Fs",1
"19714",3254,"none_Fs",1
"19715",3255,"none_Fs",1
"19718",3260,"none_Fs",1
"19719",3263,"none_Fs",1
"19721",3265,"none_Fs",1
"19722",3266,"none_Fs",1
"19723",3267,"none_Fs",1
"19724",3269,"none_Fs",1
"19735",3287,"none_Fs",1
"19755",3316,"none_Fs",1
"19757",3318,"none_Fs",1
"19764",3330,"none_Fs",1
"19773",3357,"none_Fs",1
"19777",3362,"none_Fs",1
"19793",3392,"none_Fs",1
"19798",3402,"none_Fs",1
"19875",3586,"none_Fs",1
"19876",3588,"none_Fs",1
"19897",3624,"none_Fs",1
"19925",3693,"none_Fs",1
"19932",3727,"none_Fs",1
"19943",3751,"none_Fs",1
"19957",3781,"none_Fs",1
"19970",3816,"none_Fs",1
"19989",3861,"none_Fs",1
"20006",3897,"none_Fs",1
"20081",4108,"none_Fs",1
"20086",4116,"none_Fs",1
"20120",4211,"none_Fs",1
"20122",4213,"none_Fs",1
"20203",4418,"none_Fs",1
"20320",4834,"none_Fs",1
"20481",5327,"none_Fs",1
"20482",5328,"none_Fs",1
"20507",5397,"none_Fs",1
"20514",5417,"none_Fs",1
"20516",5419,"none_Fs",1
"20517",5420,"none_Fs",1
"20525",5441,"none_Fs",1
"20526",5454,"none_Fs",1
"20588",5723,"none_Fs",1
"20589",5725,"none_Fs",1
"20591",5727,"none_Fs",1
"20668",5941,"none_Fs",1
"20683",5990,"none_Fs",1
"20701",6062,"none_Fs",1
"20732",6125,"none_Fs",1
"20741",6155,"none_Fs",1
"20773",6239,"none_Fs",1
"20779",6255,"none_Fs",1
"20795",6305,"none_Fs",1
"21003",6891,"none_Fs",1
"21018",6949,"none_Fs",1
"21045",7007,"none_Fs",1
"21116",7182,"none_Fs",1
"21124",7197,"none_Fs",1
"21180",7332,"none_Fs",1
"21192",7351,"none_Fs",1
"21252",7463,"none_Fs",1
"21253",7464,"none_Fs",1
"21293",7570,"none_Fs",1
"21313",7633,"none_Fs",1
"21330",7658,"none_Fs",1
"21404",7845,"none_Fs",1
"21481",8018,"none_Fs",1
"21495",8050,"none_Fs",1
"21496",8051,"none_Fs",1
"21497",8053,"none_Fs",1
"21566",8241,"none_Fs",1
"21569",8244,"none_Fs",1
"21614",8371,"none_Fs",1
"21615",8372,"none_Fs",1
"21616",8373,"none_Fs",1
"21729",8816,"none_Fs",1
"21815",9026,"none_Fs",1
"21871",9163,"none_Fs",1
"22052",9616,"none_Fs",1
"22076",9671,"none_Fs",1
"22105",9723,"none_Fs",1
"22106",9724,"none_Fs",1
"22108",9727,"none_Fs",1
"22111",9734,"none_Fs",1
"22113",9736,"none_Fs",1
"22252",9997,"none_Fs",1
"22254",10000,"none_Fs",1
"22345",10195,"none_Fs",1
"22395",10300,"none_Fs",1
"22417",10350,"none_Fs",1
"22418",10351,"none_Fs",1
"22419",10352,"none_Fs",1
"22427",10361,"none_Fs",1
"22449",10392,"none_Fs",1
"22580",10711,"none_Fs",1
"22634",10810,"none_Fs",1
"22739",11107,"none_Fs",1
"22754",11137,"none_Fs",1
"22837",11343,"none_Fs",1
"22859",11377,"none_Fs",1
"22889",11429,"none_Fs",1
"22945",11538,"none_Fs",1
"23255",12134,"none_Fs",1
"23289",12197,"none_Fs",1
"23294",12206,"none_Fs",1
"23300",12214,"none_Fs",1
"23334",12254,"none_Fs",1
"23377",12331,"none_Fs",1
"23400",12369,"none_Fs",1
"23458",12489,"none_Fs",1
"23477",12519,"none_Fs",1
"23775",13165,"none_Fs",1
"23932",13500,"none_Fs",1
"23994",13589,"none_Fs",1
"23997",13592,"none_Fs",1
"23999",13594,"none_Fs",1
"24019",13623,"none_Fs",1
"24254",14047,"none_Fs",1
"24284",14092,"none_Fs",1
"24507",14464,"none_Fs",1
"24675",14744,"none_Fs",1
"24855",15020,"none_Fs",1
"25284",88,"none_Fv",1
"25294",171,"none_Fv",1
"25316",253,"none_Fv",1
"25320",274,"none_Fv",1
"25321",280,"none_Fv",1
"25322",283,"none_Fv",1
"25323",285,"none_Fv",1
"25325",294,"none_Fv",1
"25341",314,"none_Fv",1
"25346",323,"none_Fv",1
"25407",530,"none_Fv",1
"25409",547,"none_Fv",1
"25428",623,"none_Fv",1
"25429",628,"none_Fv",1
"25431",637,"none_Fv",1
"25434",649,"none_Fv",1
"25459",786,"none_Fv",1
"25464",795,"none_Fv",1
"25466",802,"none_Fv",1
"25476",826,"none_Fv",1
"25586",1435,"none_Fv",1
"25597",1478,"none_Fv",1
"25603",1534,"none_Fv",1
"25631",1668,"none_Fv",1
"25633",1679,"none_Fv",1
"25637",1704,"none_Fv",1
"25645",1730,"none_Fv",1
"25673",1871,"none_Fv",1
"25720",2023,"none_Fv",1
"25732",2054,"none_Fv",1
"25754",2144,"none_Fv",1
"25795",2262,"none_Fv",1
"25801",2294,"none_Fv",1
"25881",2574,"none_Fv",1
"25930",2792,"none_Fv",1
"25943",2837,"none_Fv",1
"25962",2988,"none_Fv",1
"25963",2991,"none_Fv",1
"25970",3019,"none_Fv",1
"25984",3093,"none_Fv",1
"25985",3095,"none_Fv",1
"26003",3186,"none_Fv",1
"26035",3255,"none_Fv",1
"26038",3260,"none_Fv",1
"26039",3263,"none_Fv",1
"26041",3265,"none_Fv",1
"26042",3266,"none_Fv",1
"26043",3267,"none_Fv",1
"26044",3269,"none_Fv",1
"26046",3272,"none_Fv",1
"26055",3287,"none_Fv",1
"26075",3316,"none_Fv",1
"26084",3330,"none_Fv",1
"26092",3356,"none_Fv",1
"26093",3357,"none_Fv",1
"26112",3391,"none_Fv",1
"26113",3392,"none_Fv",1
"26195",3586,"none_Fv",1
"26196",3588,"none_Fv",1
"26197",3589,"none_Fv",1
"26245",3693,"none_Fv",1
"26246",3694,"none_Fv",1
"26358",3980,"none_Fv",1
"26359",3981,"none_Fv",1
"26440",4211,"none_Fv",1
"26442",4213,"none_Fv",1
"26443",4215,"none_Fv",1
"26444",4219,"none_Fv",1
"26451",4230,"none_Fv",1
"26523",4418,"none_Fv",1
"26673",4929,"none_Fv",1
"26675",4932,"none_Fv",1
"26684",4962,"none_Fv",1
"26801",5327,"none_Fv",1
"26802",5328,"none_Fv",1
"26830",5408,"none_Fv",1
"26834",5417,"none_Fv",1
"26862",5527,"none_Fv",1
"26908",5723,"none_Fv",1
"26909",5725,"none_Fv",1
"26910",5726,"none_Fv",1
"26911",5727,"none_Fv",1
"26914",5737,"none_Fv",1
"26926",5758,"none_Fv",1
"26961",5866,"none_Fv",1
"26965",5876,"none_Fv",1
"26991",5949,"none_Fv",1
"27003",5990,"none_Fv",1
"27021",6062,"none_Fv",1
"27052",6125,"none_Fv",1
"27276",6764,"none_Fv",1
"27338",6949,"none_Fv",1
"27391",7076,"none_Fv",1
"27398",7091,"none_Fv",1
"27405",7103,"none_Fv",1
"27444",7197,"none_Fv",1
"27512",7351,"none_Fv",1
"27513",7352,"none_Fv",1
"27572",7463,"none_Fv",1
"27573",7464,"none_Fv",1
"27598",7533,"none_Fv",1
"27613",7570,"none_Fv",1
"27633",7633,"none_Fv",1
"27635",7637,"none_Fv",1
"27733",7861,"none_Fv",1
"27767",7939,"none_Fv",1
"27774",7965,"none_Fv",1
"27775",7966,"none_Fv",1
"27815",8050,"none_Fv",1
"27816",8051,"none_Fv",1
"27817",8053,"none_Fv",1
"27886",8241,"none_Fv",1
"27887",8242,"none_Fv",1
"27888",8243,"none_Fv",1
"27889",8244,"none_Fv",1
"27890",8245,"none_Fv",1
"27891",8246,"none_Fv",1
"27892",8248,"none_Fv",1
"27934",8371,"none_Fv",1
"27935",8372,"none_Fv",1
"27983",8556,"none_Fv",1
"27985",8560,"none_Fv",1
"28153",9075,"none_Fv",1
"28173",9123,"none_Fv",1
"28251",9377,"none_Fv",1
"28372",9616,"none_Fv",1
"28737",10350,"none_Fv",1
"28738",10351,"none_Fv",1
"28747",10361,"none_Fv",1
"28753",10369,"none_Fv",1
"28767",10390,"none_Fv",1
"28769",10392,"none_Fv",1
"28857",10574,"none_Fv",1
"28867",10607,"none_Fv",1
"28929",10760,"none_Fv",1
"28932",10763,"none_Fv",1
"29059",11107,"none_Fv",1
"29062",11118,"none_Fv",1
"29074",11137,"none_Fv",1
"29145",11313,"none_Fv",1
"29157",11343,"none_Fv",1
"29166",11355,"none_Fv",1
"29167",11356,"none_Fv",1
"29573",12129,"none_Fv",1
"29575",12134,"none_Fv",1
"29576",12135,"none_Fv",1
"29614",12206,"none_Fv",1
"29620",12214,"none_Fv",1
"29654",12254,"none_Fv",1
"29778",12489,"none_Fv",1
"29797",12519,"none_Fv",1
"29840",12607,"none_Fv",1
"29856",12636,"none_Fv",1
"29857",12637,"none_Fv",1
"29891",12686,"none_Fv",1
"30074",13104,"none_Fv",1
"30197",13378,"none_Fv",1
"30574",14047,"none_Fv",1
"30592",14071,"none_Fv",1
"30898",14571,"none_Fv",1
"30995",14744,"none_Fv",1
"31434",15392,"none_Fv",1
"31604",88,"watered",1
"31641",280,"watered",1
"31642",283,"watered",1
"31665",320,"watered",1
"31666",323,"watered",1
"31695",403,"watered",1
"31727",530,"watered",1
"31748",623,"watered",1
"31749",628,"watered",1
"31796",826,"watered",1
"31923",1534,"watered",1
"31953",1679,"watered",1
"31993",1871,"watered",1
"32040",2023,"watered",1
"32052",2054,"watered",1
"32074",2144,"watered",1
"32185",2528,"watered",1
"32208",2589,"watered",1
"32261",2832,"watered",1
"32282",2988,"watered",1
"32305",3095,"watered",1
"32355",3255,"watered",1
"32358",3260,"watered",1
"32359",3263,"watered",1
"32361",3265,"watered",1
"32362",3266,"watered",1
"32363",3267,"watered",1
"32395",3316,"watered",1
"32396",3317,"watered",1
"32433",3392,"watered",1
"32515",3586,"watered",1
"32516",3588,"watered",1
"32565",3693,"watered",1
"32760",4211,"watered",1
"33121",5327,"watered",1
"33141",5373,"watered",1
"33229",5725,"watered",1
"33231",5727,"watered",1
"33323",5990,"watered",1
"33341",6062,"watered",1
