ASVid,Kingdom,Phylum,Class,Order,Family,Genus
13755,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniferax
13762,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007_ge
13768,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
13769,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
13771,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
13772,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13773,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13774,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13775,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13776,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13779,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13780,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
13786,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
13787,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
13788,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
13789,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
13790,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
13792,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
13793,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
